District,Name_AR,Villas,Apartments_LandUse,Apartments_CSV,Overlap,Villa_Percentage,Total_Residential
Oraid Dist.,حي عريض,55635,2438,40,6,95.8,58073
Tuwaiq Dist.,حي طويق,32323,5654,83,61,85.1,37977
Al Janadriyah Dist.,حي الجنادرية,30932,1808,39,10,94.5,32740
Dahiyat Namar Dist.,حي ضاحية نمار,26809,4701,53,10,85.1,31510
Al Arid Dist.,حي العارض,25328,4291,89,68,85.5,29619
Al Rimal Dist.,حي الرمال,22716,1657,36,3,93.2,24373
Al Narjis Dist.,حي النرجس,22557,2631,81,19,89.6,25188
Dhahrat Laban Dist.,حي ظهرة لبن,16980,7024,112,109,70.7,24004
Al Nadheem Dist.,حي النظيم,16556,1320,9,4,92.6,17876
Badr Dist.,حي بدر,15570,3310,99,32,82.5,18880
Al Khair Dist.,حي الخير,15482,69,51,0,99.6,15551
Al Zaher Dist.,حي الزاهر,13856,0,36,0,100.0,13856
Al Qairawan Dist.,حي القيروان,13410,1813,25,9,88.1,15223
Al Mahdiyah Dist.,حي المهدية,13062,3831,68,59,77.3,16893
Al Malqa Dist.,حي الملقا,12911,1956,102,88,86.8,14867
Al Yasmeen Dist.,حي الياسمين,12729,1325,64,53,90.6,14054
Al Ula Dist.,حي العلا,12157,0,12,0,100.0,12157
Al Aziziyah Dist.,حي العزيزية,11631,2462,194,131,82.5,14093
Al Wasam Dist.,حي الوسام,11072,14,9,1,99.9,11086
Al Dar Al Baida Dist.,حي الدار البيضاء,10687,1903,76,60,84.9,12590
Al Munisiyah Dist.,حي المونسية,10647,1924,116,95,84.7,12571
West Oraija Dist.,حي العريجاء الغربي,10608,1980,56,37,84.3,12588
West Naseem Dist.,حي النسيم الغربي,10281,1890,77,68,84.5,12171
Al Sahab Dist.,حي السحاب,9516,37,5,0,99.6,9553
Al Nakhbah Dist.,حي النخبة,9167,0,3,0,100.0,9167
Al Nahdah Dist.,حي النهضة,8997,1186,157,121,88.4,10183
Al Tadamun Dist.,حي التضامن,8656,0,1,0,100.0,8656
Al Marjan Dist.,حي المرجان,8010,95,21,0,98.8,8105
Al Sholah Dist.,حي الشعلة,7829,0,4,0,100.0,7829
Qurtubah Dist.,حي قرطبة,7636,1391,86,64,84.6,9027
Al Mashriq Dist.,حي المشرق,7332,1143,36,6,86.5,8475
Al Hazm Dist.,حي الحزم,7292,1290,122,84,85.0,8582
Al Khaleej Dist.,حي الخليج,7152,1576,126,104,81.9,8728
Al Olaya Dist.,حي العليا,7018,1550,73,60,81.9,8568
Ishbiliyah Dist.,حي اشبيلية,6912,976,76,62,87.6,7888
Okaz Dist.,حي عكاظ,6764,700,92,23,90.6,7464
Dirab Dist.,حي ديراب,6740,1899,54,18,78.0,8639
Irqah,عرقة,6498,525,61,27,92.5,7023
Banban Dist.,حي بنبان,6352,298,34,0,95.5,6650
Al Misfat Dist.,حي المصفاة,6312,517,41,8,92.4,6829
Al Bayan Dist.,حي البيان,6248,556,55,19,91.8,6804
Al Awaly Dist.,حي العوالي,6190,1640,71,57,79.1,7830
Hiteen Dist.,حي حطين,6028,806,49,38,88.2,6834
Ar Rabwah Dist.,حي الربوة,6008,676,63,35,89.9,6684
East Naseem Dist.,حي النسيم الشرقي,5846,2270,59,54,72.0,8116
Al Rawdah Dist.,حي الروضة,5791,1398,41,37,80.6,7189
Al Shifa Dist.,حي الشفا,5685,1257,88,56,81.9,6942
Al Yarmuk Dist.,حي اليرموك,5651,1867,97,91,75.2,7518
Al Sahafah Dist.,حي الصحافة,5549,1307,63,52,80.9,6856
Dhahrat Al Badeah Dist.,حي ظهرة البديعة,5524,807,29,12,87.3,6331
Middle Oraija Dist.,حي العريجاء الوسطى,5124,1108,50,33,82.2,6232
Al Qadisiyah Dist.,حي القادسية,5097,713,62,44,87.7,5810
Taybah Dist.,حي طيبة,5028,39,13,0,99.2,5067
Al Suwaidi Dist.,حي السويدي,4942,1247,79,64,79.9,6189
Al Zahrah Dist.,حي الزهرة,4919,998,34,24,83.1,5917
Al Sulaimaniyah Dist.,حي السليمانية,4546,872,165,105,83.9,5418
Al Haer Dist.,حي الحائر,4534,0,22,0,100.0,4534
Al Saadah Dist.,حي السعادة,4488,1416,148,124,76.0,5904
West Suwaidi Dist.,حي السويدي الغربي,4463,756,83,63,85.5,5219
Ar Rabie Dist.,حي الربيع,4229,593,63,46,87.7,4822
Shubra Dist.,حي شبرا,4201,989,24,19,80.9,5190
Al Hamra Dist.,حي الحمراء,4165,698,46,44,85.6,4863
Al Nakheel Dist.,حي النخيل,4042,846,28,16,82.7,4888
Al Rawabi Dist.,حي الروابي,4005,1057,73,67,79.1,5062
Al Ghannamiyah Dist.,حي الغنامية,3966,117,27,5,97.1,4083
Al Jazeerah Dist.,حي الجزيرة,3874,114,55,8,97.1,3988
Al Fayha Dist.,حي الفيحاء,3788,1105,77,61,77.4,4893
Al Salam Dist.,حي السلام,3523,1112,31,21,76.0,4635
Al Andalus Dist.,حي الاندلس,3522,514,44,30,87.3,4036
Al Malaz Dist.,حي الملز,3484,1007,173,111,77.6,4491
Al Aqeeq Dist.,حي العقيق,3436,1357,91,80,71.7,4793
Al Rayan Dist.,حي الريان,3384,882,40,34,79.3,4266
Al Quds Dist.,حي القدس,3371,984,56,54,77.4,4355
Al Wadi Dist.,حي الوادي,3364,479,58,50,87.5,3843
Al Maseef Dist.,حي المصيف,3345,631,54,46,84.1,3976
Namar Dist.,حي نمار,3301,285,43,20,92.1,3586
Al Nadwah Dist.,حي الندوة,3301,441,70,53,88.2,3742
King Faisal Dist.,حي الملك فيصل,3210,1236,73,65,72.2,4446
King Fahd Dist.,حي الملك فهد,3086,414,56,35,88.2,3500
Al Safa Dist.,حي الصفا,2994,140,19,9,95.5,3134
Al Nafel Dist.,حي النفل,2993,474,72,54,86.3,3467
Al Nada Dist.,حي الندى,2939,244,61,31,92.3,3183
Al Mansurah Dist.,حي المنصورة,2928,1295,125,111,69.3,4223
Al Rayah Dist.,حي الراية,2836,0,1,0,100.0,2836
Al Woroud Dist.,حي الورود,2831,516,110,82,84.6,3347
Al Manakh Dist.,حي المناخ,2823,376,87,25,88.2,3199
Al Maizalah Dist.,حي المعيزلة,2765,616,49,29,81.8,3381
West Umm Al Hamam Dist.,حي ام الحمام الغربي,2736,253,83,34,91.5,2989
Laban Dist.,حي لبن,2684,778,88,62,77.5,3462
Al Wahah Dist.,حي الواحة,2450,180,20,10,93.2,2630
Al Zahour Dist.,حي الزهور,2439,0,0,0,100.0,2439
Al Taawun Dist.,حي التعاون,2422,734,50,49,76.7,3156
Al Falah Dist.,حي الفلاح,2404,354,94,85,87.2,2758
Ohod Dist.,حي احد,2390,319,48,21,88.2,2709
Al Muruj Dist.,حي المروج,2374,929,58,53,71.9,3303
King Abdullah Dist.,حي الملك عبدالله,2206,107,16,5,95.4,2313
Jareer Dist.,حي جرير,2175,354,49,29,86.0,2529
East Umm Al Hamam Dist.,حي ام الحمام الشرقي,2085,113,53,8,94.9,2198
Al Muhammadiyah Dist.,حي المحمدية,2084,447,55,44,82.3,2531
Al Ghadeer Dist.,حي الغدير,2060,263,35,29,88.7,2323
Al Manar Dist.,حي المنار,2013,991,41,34,67.0,3004
Al Nuzha Dist.,حي النزهة,1988,653,77,71,75.3,2641
Al Farooq Dist.,حي الفاروق,1979,73,23,4,96.4,2052
Al Ezdihar Dist.,حي الازدهار,1972,701,36,33,73.8,2673
Sultanah Dist.,حي سلطانة,1970,271,20,2,87.9,2241
Al Yamamah Dist.,حي اليمامة,1950,283,33,10,87.3,2233
Al Iskan Dist.,حي الاسكان,1912,17,49,0,99.1,1929
Al Fursan Dist.,حي الفرسان,1886,0,2,0,100.0,1886
Ar Rafiah Dist.,حي الرفيعة,1833,87,47,13,95.5,1920
Al Risalah Dist.,حي الرسالة,1833,0,1,0,100.0,1833
Manfuhah Dist.,حي منفوحة,1824,127,83,23,93.5,1951
Al Khalidiyah Dist.,حي الخالدية,1702,526,120,43,76.4,2228
Al Shohda Dist.,حي الشهداء,1645,610,100,84,72.9,2255
Al Wizarat Dist.,حي الوزارات,1591,760,73,57,67.7,2351
Al Oud Dist.,حي العود,1569,136,13,8,92.0,1705
Ar Rahmaniyah Dist.,حي الرحمانية,1542,232,49,26,86.9,1774
North Mathar Dist.,حي المعذر الشمالي,1539,157,30,22,90.7,1696
Al Mursalat Dist.,حي المرسلات,1535,421,47,34,78.5,1956
Ghirnatah Dist.,حي غرناطة,1518,564,56,49,72.9,2082
Ghobairah Dist.,حي غبيرة,1513,246,80,29,86.0,1759
Al Khuzama Dist.,حي الخزامى,1500,2,21,0,99.9,1502
Al Faisaliyah Dist.,حي الفيصلية,1471,406,53,18,78.4,1877
Al Murabba Dist.,حي المربع,1285,553,104,79,69.9,1838
Al Sharafiyah Dist.,حي الشرفية,1226,130,41,18,90.4,1356
Al Hada Dist.,حي الهدا,1223,15,30,3,98.8,1238
Salahuddin Dist.,حي صلاح الدين,1222,142,25,12,89.6,1364
Al Marwah Dist.,حي المروة,1206,301,55,28,80.0,1507
Al Mughrazat Dist.,حي المغرزات,1183,425,56,55,73.6,1608
2nd Industrial City,المدينة الصناعية الثانية,1151,566,90,30,67.0,1717
Al Majd Dist.,حي المجد,1094,0,0,0,100.0,1094
Al Raed Dist.,حي الرائد,1045,192,23,21,84.5,1237
Utayqah Dist.,حي عتيقة,1041,84,39,8,92.5,1125
Al Badiah Dist.,حي البديعة,1033,98,46,13,91.3,1131
Al Jarradiyah Dist.,حي الجرادية,1002,122,52,20,89.1,1124
Al Zahra Dist.,حي الزهراء,994,92,24,13,91.5,1086
Al Duraihemiyah Dist.,حي الدريهمية,986,283,25,21,77.7,1269
King Abdulaziz Dist.,حي الملك عبدالعزيز,890,75,19,7,92.2,965
Al Dhubbat Dist.,حي الضباط,887,136,69,21,86.7,1023
Al Mathar Dist.,حي المعذر,784,40,74,15,95.1,824
Manfuha Al Jadidah Dist.,حي منفوحة الجديدة,743,244,74,16,75.3,987
Al Bariyah Dist.,حي البرية,686,201,11,3,77.3,887
Al Fakhiriyah Dist.,حي الفاخرية,595,55,14,3,91.5,650
Hyt Dist.,حي هيت,508,35,16,0,93.6,543
Al Uraija Dist.,حي العريجاء,478,66,15,6,87.9,544
Al Nasiriyah Dist.,حي الناصرية,433,52,19,2,89.3,485
Al Dirah Dist.,حي الديرة,351,15,37,2,95.9,366
As Salhiyah Dist.,حي الصالحية,350,26,19,1,93.1,376
Al Amal Dist.,حي العمل,341,161,70,36,67.9,502
Al Sinaiyah Dist.,حي الصناعية,340,37,16,2,90.2,377
Al Namudhajiyah Dist.,حي النموذجية,323,77,27,12,80.8,400
Al Mutamarat Dist.,حي المؤتمرات,295,90,12,3,76.6,385
Olaishah Dist.,حي عليشة,289,24,21,4,92.3,313
Thulaim Dist.,حي ثليم,220,25,38,5,89.8,245
Umm Saleem Dist.,حي ام سليم,204,44,24,8,82.3,248
Al Dahou Dist.,حي الدحو,164,8,1,1,95.3,172
Skirinah Dist.,حي سكيرينة,149,5,19,0,96.8,154
Al Shumaisi Dist.,حي الشميسي,144,56,46,7,72.0,200
Siyah Dist.,حي صياح,142,7,5,1,95.3,149
Al Masani Dist.,حي المصانع,124,220,35,2,36.0,344
Al Futah Dist.,حي الفوطة,107,121,40,19,46.9,228
Al Noor Dist.,حي النور,86,112,20,1,43.4,198
Salam Park,منتزه سلام,71,18,0,0,79.8,89
Al Marqab Dist.,حي المرقب,60,10,25,3,85.7,70
Al Wisham Dist.,حي الوشام,52,12,28,0,81.2,64
Meakal Dist.,حي معكال,30,5,1,0,85.7,35
Wady Laban Dist.,حي وادي لبن,25,0,0,0,100.0,25
Mansuriyah Dist.,حي المنصورية,15,0,6,0,100.0,15
Al Dubiyah Dist.,حي الدوبية,9,6,5,0,60.0,15
Al Butaiha Dist.,حي البطيحا,9,2,10,0,81.8,11
Jabrah Dist.,حي جبرة,7,38,11,2,15.6,45
Al Mishael Dist.,حي المشاعل,5,391,31,10,1.3,396
Al Sulay Dist.,حي السلي,2,385,33,1,0.5,387
Al Wusayta Dist.,حي الوسيطاء,2,1,2,0,66.7,3
Al Difaa Dist.,حي الدفاع,0,13,12,0,0.0,13
Al Rimayah Dist.,حي الرماية,0,0,48,0,0.0,0
Assafarat Dist.,حي السفارات,0,0,19,0,0.0,0
Khashm Al An,خشم العان,0,1,23,0,0.0,1
Al Qura Dist.,حي القرى,0,0,0,0,0.0,0
King Khalid International Airport,مطار الملك خالد,0,0,0,0,0.0,0
Imam Muhammed Bin Saud Islamic University,جامعة الامام محمد بن سعود الاسلامية,0,3,24,0,0.0,3
Al Ammajiyah Dist.,حي العماجية,0,0,8,0,0.0,0
Umm Al Shaal Dist.,حي ام الشعال,0,54,1,0,0.0,54
King Saud University,جامعة الملك سعود,0,13,38,0,0.0,13
Al Rabiyah Dist.,حي الرابية,0,0,2,0,0.0,0
Al Sidrah Dist.,حي السدرة,0,0,0,0,0.0,0
King Abdullah City For Energy,مدينة الملك عبدالله للطاقة,0,0,0,0,0.0,0
Al Basatin Dist.,حي البساتين,0,0,0,0,0.0,0
Al Rehab Dist.,حي الرحاب,0,0,0,0,0.0,0
Al Danah Dist.,حي الدانة,0,0,0,0,0.0,0
