district,villas,apartments,commercial,industrial,other,total,villa_pct,apt_pct
Al Yasmeen Dist.,29800,4882,0,0,0,34682,85.9,14.1
Ghirnatah Dist.,16261,6439,0,0,0,22700,71.6,28.4
Al Salam Dist.,17310,2089,0,0,0,19399,89.2,10.8
Al Iskan Dist.,16063,3175,0,0,0,19238,83.5,16.5
Al Rawabi Dist.,16455,1083,0,0,0,17538,93.8,6.2
Unknown (154),12337,3217,0,0,0,15554,79.3,20.7
Al Fayha Dist.,11481,2903,0,0,0,14384,79.8,20.2
East Naseem Dist.,12685,1090,0,0,0,13775,92.1,7.9
Al Sahafah Dist.,11433,2249,0,0,0,13682,83.6,16.4
Taybah Dist.,12116,903,0,0,0,13019,93.1,6.9
Al Safa Dist.,11050,1609,0,0,0,12659,87.3,12.7
Unknown (124),10629,1803,0,0,0,12432,85.5,14.5
Al Aqeeq Dist.,10275,1841,0,0,0,12116,84.8,15.2
Al Maizalah Dist.,9907,1815,0,0,0,11722,84.5,15.5
Dhahrat Al Badeah Dist.,10021,1639,0,0,0,11660,85.9,14.1
Al Muruj Dist.,9119,1252,0,0,0,10371,87.9,12.1
Al Janadriyah Dist.,9513,317,0,0,0,9830,96.8,3.2
Ar Rabie Dist.,8613,1163,0,0,0,9776,88.1,11.9
Al Mishael Dist.,8343,1075,0,0,0,9418,88.6,11.4
Khashm Al An,7140,1531,0,0,0,8671,82.3,17.7
Ar Rahmaniyah Dist.,7010,1500,0,0,0,8510,82.4,17.6
Al Qadisiyah Dist.,7266,1072,0,0,0,8338,87.1,12.9
Al Rayan Dist.,7096,1238,0,0,0,8334,85.1,14.9
Al Narjis Dist.,7109,1105,0,0,0,8214,86.5,13.5
Al Nakheel Dist.,5837,2197,0,0,0,8034,72.7,27.3
Dahiyat Namar Dist.,6890,915,0,0,0,7805,88.3,11.7
Al Rimayah Dist.,5615,1782,0,0,0,7397,75.9,24.1
Tuwaiq Dist.,5778,1381,0,0,0,7159,80.7,19.3
Unknown (203),5473,1484,0,0,0,6957,78.7,21.3
Al Dar Al Baida Dist.,5597,1254,0,0,0,6851,81.7,18.3
Al Quds Dist.,5521,1205,0,0,0,6726,82.1,17.9
Al Hazm Dist.,5934,649,0,0,0,6583,90.1,9.9
Al Dahou Dist.,6536,5,0,0,0,6541,99.9,0.1
Banban Dist.,6117,355,0,0,0,6472,94.5,5.5
Al Khuzama Dist.,5441,744,0,0,0,6185,88.0,12.0
Al Yarmuk Dist.,5077,1092,0,0,0,6169,82.3,17.7
Hiteen Dist.,4839,1212,0,0,0,6051,80.0,20.0
Al Olaya Dist.,5352,590,0,0,0,5942,90.1,9.9
Al Mutamarat Dist.,5389,513,0,0,0,5902,91.3,8.7
Dhahrat Laban Dist.,4910,982,0,0,0,5892,83.3,16.7
Salam Park,4339,1342,0,0,0,5681,76.4,23.6
Unknown (246),5555,0,0,0,0,5555,100.0,0.0
King Khalid International Airport,4489,999,0,0,0,5488,81.8,18.2
Laban Dist.,4539,862,0,0,0,5401,84.0,16.0
Al Bariyah Dist.,4728,517,0,0,0,5245,90.1,9.9
Irqah,4452,743,0,0,0,5195,85.7,14.3
Al Malqa Dist.,4150,960,0,0,0,5110,81.2,18.8
Unknown (226),5092,0,0,0,0,5092,100.0,0.0
Al Oud Dist.,4003,1053,0,0,0,5056,79.2,20.8
Mansuriyah Dist.,4155,669,0,0,0,4824,86.1,13.9
Al Wisham Dist.,3783,1039,0,0,0,4822,78.5,21.5
Al Tadamun Dist.,4776,0,0,0,0,4776,100.0,0.0
Shubra Dist.,3991,766,0,0,0,4757,83.9,16.1
Thulaim Dist.,3521,1111,0,0,0,4632,76.0,24.0
Al Duraihemiyah Dist.,3332,1267,0,0,0,4599,72.5,27.5
Unknown (237),4160,299,0,0,0,4459,93.3,6.7
Al Murabba Dist.,3456,986,0,0,0,4442,77.8,22.2
Assafarat Dist.,3208,1220,0,0,0,4428,72.4,27.6
Al Misfat Dist.,3358,979,0,0,0,4337,77.4,22.6
Al Mughrazat Dist.,3376,873,0,0,0,4249,79.5,20.5
Ar Rabwah Dist.,2924,1275,0,0,0,4199,69.6,30.4
Al Wadi Dist.,3674,460,0,0,0,4134,88.9,11.1
Al Awaly Dist.,3513,506,0,0,0,4019,87.4,12.6
Al Shumaisi Dist.,3854,101,0,0,0,3955,97.4,2.6
Al Namudhajiyah Dist.,3343,606,0,0,0,3949,84.7,15.3
Unknown (248),3626,311,0,0,0,3937,92.1,7.9
Unknown (228),3466,469,0,0,0,3935,88.1,11.9
Al Andalus Dist.,3344,450,0,0,0,3794,88.1,11.9
Manfuha Al Jadidah Dist.,3073,400,0,0,0,3473,88.5,11.5
Wady Laban Dist.,3466,1,0,0,0,3467,100.0,0.0
King Saud University,3324,114,0,0,0,3438,96.7,3.3
Al Ezdihar Dist.,2952,435,0,0,0,3387,87.2,12.8
Al Sharafiyah Dist.,2829,502,0,0,0,3331,84.9,15.1
Unknown (200),2879,429,0,0,0,3308,87.0,13.0
Al Amal Dist.,2372,900,0,0,0,3272,72.5,27.5
Al Jarradiyah Dist.,2410,721,0,0,0,3131,77.0,23.0
Meakal Dist.,2780,299,0,0,0,3079,90.3,9.7
Middle Oraija Dist.,3073,0,0,0,0,3073,100.0,0.0
Al Nafel Dist.,2793,198,0,0,0,2991,93.4,6.6
Ishbiliyah Dist.,2311,678,0,0,0,2989,77.3,22.7
Al Sulay Dist.,1997,965,0,0,0,2962,67.4,32.6
Al Badiah Dist.,2684,253,0,0,0,2937,91.4,8.6
Imam Muhammed Bin Saud Islamic University,2634,258,0,0,0,2892,91.1,8.9
Qurtubah Dist.,2364,508,0,0,0,2872,82.3,17.7
Al Rawdah Dist.,2385,307,0,0,0,2692,88.6,11.4
Al Sinaiyah Dist.,1962,670,0,0,0,2632,74.5,25.5
Al Dirah Dist.,1975,638,0,0,0,2613,75.6,24.4
Al Falah Dist.,2169,350,0,0,0,2519,86.1,13.9
Siyah Dist.,2081,426,0,0,0,2507,83.0,17.0
Al Wusayta Dist.,2103,256,0,0,0,2359,89.1,10.9
Al Shohda Dist.,1571,740,0,0,0,2311,68.0,32.0
Al Taawun Dist.,2031,234,0,0,0,2265,89.7,10.3
Unknown (238),2213,5,0,0,0,2218,99.8,0.2
Al Wizarat Dist.,1932,278,0,0,0,2210,87.4,12.6
Al Haer Dist.,1625,583,0,0,0,2208,73.6,26.4
Al Manar Dist.,2082,106,0,0,0,2188,95.2,4.8
Unknown (239),2174,8,0,0,0,2182,99.6,0.4
Al Masani Dist.,2069,111,0,0,0,2180,94.9,5.1
Salahuddin Dist.,1669,500,0,0,0,2169,76.9,23.1
West Umm Al Hamam Dist.,2011,64,0,0,0,2075,96.9,3.1
West Oraija Dist.,1980,32,0,0,0,2012,98.4,1.6
Al Nadheem Dist.,1429,552,0,0,0,1981,72.1,27.9
Al Fakhiriyah Dist.,1535,421,0,0,0,1956,78.5,21.5
Al Marwah Dist.,1694,234,0,0,0,1928,87.9,12.1
Al Marqab Dist.,1906,8,0,0,0,1914,99.6,0.4
Skirinah Dist.,1790,117,0,0,0,1907,93.9,6.1
Al Uraija Dist.,1808,96,0,0,0,1904,95.0,5.0
King Abdulaziz Dist.,1462,352,0,0,0,1814,80.6,19.4
Al Nahdah Dist.,1692,81,0,0,0,1773,95.4,4.6
Al Wahah Dist.,1513,246,0,0,0,1759,86.0,14.0
Utayqah Dist.,1245,512,0,0,0,1757,70.9,29.1
Al Yamamah Dist.,1528,222,0,0,0,1750,87.3,12.7
Al Manakh Dist.,1559,133,0,0,0,1692,92.1,7.9
Al Malaz Dist.,1537,146,0,0,0,1683,91.3,8.7
East Umm Al Hamam Dist.,1179,417,0,0,0,1596,73.9,26.1
Al Futah Dist.,1076,490,0,0,0,1566,68.7,31.3
Al Zahra Dist.,1179,262,0,0,0,1441,81.8,18.2
Al Rimal Dist.,1437,2,0,0,0,1439,99.9,0.1
Olaishah Dist.,1221,130,0,0,0,1351,90.4,9.6
Al Shifa Dist.,1190,119,0,0,0,1309,90.9,9.1
Al Qairawan Dist.,979,275,0,0,0,1254,78.1,21.9
Al Noor Dist.,1041,83,0,0,0,1124,92.6,7.4
Al Muhammadiyah Dist.,996,120,0,0,0,1116,89.2,10.8
Sultanah Dist.,924,181,0,0,0,1105,83.6,16.4
Al Suwaidi Dist.,992,92,0,0,0,1084,91.5,8.5
King Fahd Dist.,885,132,0,0,0,1017,87.0,13.0
King Abdullah Dist.,743,243,0,0,0,986,75.4,24.6
Al Nada Dist.,854,123,0,0,0,977,87.4,12.6
Al Mathar Dist.,811,14,0,0,0,825,98.3,1.7
As Salhiyah Dist.,781,40,0,0,0,821,95.1,4.9
Unknown (227),781,0,0,0,0,781,100.0,0.0
Ar Rafiah Dist.,705,75,0,0,0,780,90.4,9.6
Badr Dist.,495,130,0,0,0,625,79.2,20.8
West Suwaidi Dist.,574,44,0,0,0,618,92.9,7.1
2nd Industrial City,456,61,0,0,0,517,88.2,11.8
Al Munisiyah Dist.,446,55,0,0,0,501,89.0,11.0
Al Nuzha Dist.,336,157,0,0,0,493,68.2,31.8
Al Khaleej Dist.,399,41,0,0,0,440,90.7,9.3
Al Dhubbat Dist.,323,74,0,0,0,397,81.4,18.6
Manfuhah Dist.,292,86,0,0,0,378,77.2,22.8
Al Difaa Dist.,350,26,0,0,0,376,93.1,6.9
King Faisal Dist.,317,33,0,0,0,350,90.6,9.4
Al Aziziyah Dist.,331,15,0,0,0,346,95.7,4.3
Ohod Dist.,288,24,0,0,0,312,92.3,7.7
Oraid Dist.,5,294,0,0,0,299,1.7,98.3
Unknown (240),264,11,0,0,0,275,96.0,4.0
Al Butaiha Dist.,107,158,0,0,0,265,40.4,59.6
Namar Dist.,203,44,0,0,0,247,82.2,17.8
Al Woroud Dist.,219,25,0,0,0,244,89.8,10.2
Al Dubiyah Dist.,1,242,0,0,0,243,0.4,99.6
Al Mursalat Dist.,106,116,0,0,0,222,47.7,52.3
Al Sulaimaniyah Dist.,145,56,0,0,0,201,72.1,27.9
Jabrah Dist.,85,88,0,0,0,173,49.1,50.9
Umm Saleem Dist.,171,0,0,0,0,171,100.0,0.0
Umm Al Shaal Dist.,149,7,0,0,0,156,95.5,4.5
Al Ghannamiyah Dist.,146,5,0,0,0,151,96.7,3.3
Okaz Dist.,142,7,0,0,0,149,95.3,4.7
Unknown (245),93,30,0,0,0,123,75.6,24.4
Ghobairah Dist.,71,17,0,0,0,88,80.7,19.3
Al Mansurah Dist.,60,10,0,0,0,70,85.7,14.3
Dirab Dist.,52,12,0,0,0,64,81.2,18.8
Unknown (244),45,0,0,0,0,45,100.0,0.0
Al Saadah Dist.,7,38,0,0,0,45,15.6,84.4
Al Faisaliyah Dist.,30,5,0,0,0,35,85.7,14.3
West Naseem Dist.,0,28,0,0,0,28,0.0,100.0
Unknown (201),16,0,0,0,0,16,100.0,0.0
Unknown (229),15,0,0,0,0,15,100.0,0.0
Al Farooq Dist.,9,6,0,0,0,15,60.0,40.0
Al Qura Dist.,0,13,0,0,0,13,0.0,100.0
Al Zahrah Dist.,0,13,0,0,0,13,0.0,100.0
Al Nasiriyah Dist.,9,2,0,0,0,11,81.8,18.2
Al Khalidiyah Dist.,2,1,0,0,0,3,66.7,33.3
